
Atlanta Hawks, NBA, 1950, 2019, 70, 5552, 2746, 2806, .495, 46, 11, 0, 1
Boston Celtics, NBA/BAA, 1947, 2019, 73, 5724, 3378, 2346, .590, 56, 31, 9, 17
Brooklyn Nets, NBA/ABA, 1968, 2019, 52, 4222, 1824, 2398, .432, 27, 5, 2, 2
Charlotte Hornets, NBA, 1989, 2019, 29, 2330, 1027, 1303, .441, 10, 0, 0, 0
Chicago Bulls, NBA, 1967, 2019, 53, 4297, 2205, 2092, .513, 35, 9, 6, 6
Cleveland Cavaliers, NBA, 1971, 2019, 49, 3970, 1848, 2122, .465, 22, 7, 5, 1
Dallas Mavericks, NBA, 1981, 2019, 39, 3150, 1572, 1578, .499, 21, 3, 2, 1
Denver Nuggets, NBA/ABA, 1968, 2019, 52, 4222, 2116, 2106, .501, 34, 11, 0, 0
Detroit Pistons, NBA/BAA, 1949, 2019, 71, 5614, 2733, 2881, .487, 42, 11, 5, 3
Golden State Warriors, NBA/BAA, 1947, 2019, 73, 5720, 2772, 2948, .485, 35, 12, 5, 6
Houston Rockets, NBA, 1968, 2019, 52, 4216, 2225, 1991, .528, 33, 7, 4, 2
Indiana Pacers, NBA/ABA, 1968, 2019, 52, 4221, 2171, 2050, .514, 35, 9, 1, 3
Los Angeles Clippers, NBA, 1971, 2019, 49, 3970, 1610, 2360, .406, 14, 2, 0, 0
Los Angeles Lakers, NBA/BAA, 1949, 2019, 71, 5615, 3333, 2282, .594, 60, 32, 18, 16
Memphis Grizzlies, NBA, 1996, 2019, 24, 1920, 792, 1128, .413, 10, 0, 0, 0
Miami Heat, NBA, 1989, 2019, 31, 2494, 1294, 1200, .519, 20, 13, 5, 3
Milwaukee Bucks, NBA, 1969, 2019, 51, 4134, 2129, 2005, .515, 31, 14, 2, 1
Minnesota Timberwolves, NBA, 1990, 2019, 30, 2412, 961, 1451, .398, 9, 1, 0, 0
New Orleans Pelicans, NBA, 2003, 2019, 17, 1378, 643, 735, .467, 7, 1, 0, 0
New York Knicks, NBA/BAA, 1947, 2019, 73, 5721, 2778, 2943, .486, 42, 8, 4, 2
Oklahoma City Thunder, NBA, 1968, 2019, 52, 4216, 2283, 1933, .542, 31, 11, 4, 1
Orlando Magic, NBA, 1990, 2019, 30, 2412, 1158, 1254, .480, 15, 6, 2, 0
Philadelphia 76ers, NBA, 1950, 2019, 70, 5550, 2857, 2693, .515, 49, 11, 5, 3
Phoenix Suns, NBA, 1969, 2019, 51, 4134, 2186, 1948, .529, 29, 6, 2, 0
Portland Trail Blazers, NBA, 1971, 2019, 49, 3970, 2134, 1836, .538, 35, 6, 3, 1
Sacramento Kings, NBA/BAA, 1949, 2019, 71, 5615, 2562, 3053, .456, 29, 5, 0, 1
San Antonio Spurs, NBA/ABA, 1968, 2019, 52, 4222, 2540, 1682, .602, 47, 22, 6, 5
Toronto Raptors, NBA, 1996, 2019, 24, 1920, 902, 1018, .470, 11, 6, 0, 0
Utah Jazz, NBA, 1975, 2019, 45, 3642, 1964, 1678, .539, 28, 9, 2, 0
Washington Wizards, NBA, 1962, 2019, 58, 4697, 2128, 2569, .453, 29, 8, 4, 1
Anderson Packers, NBA, 1950, 1950, 1, 64, 37, 27, .578, 1, 0, 0, 0
Baltimore Bullets, NBA/BAA, 1948, 1955, 8, 450, 158, 292, .351, 3, 0, 0, 1
Chicago Stags, NBA/BAA, 1947, 1950, 4, 237, 145, 92, .612, 4, 1, 0, 0
Cleveland Rebels, BAA, 1947, 1947, 1, 60, 30, 30, .500, 1, 0, 0, 0
Denver Nuggets, NBA, 1950, 1950, 1, 62, 11, 51, .177, 0, 0, 0, 0
Detroit Falcons, BAA, 1947, 1947, 1, 60, 20, 40, .333, 0, 0, 0, 0
Indianapolis Jets, BAA, 1949, 1949, 1, 60, 18, 42, .300, 0, 0, 0, 0
Indianapolis Olympians, NBA, 1950, 1953, 4, 269, 132, 137, .491, 4, 1, 0, 0
Kentucky Colonels, ABA, 1968, 1976, 9, 744, 448, 296, .602, 9, 2, 0, 1
Memphis Sounds, ABA, 1968, 1975, 8, 660, 275, 385, .417, 4, 1, 0, 0
Pittsburgh Condors, ABA, 1968, 1972, 5, 408, 180, 228, .441, 2, 1, 0, 1
Pittsburgh Ironmen, BAA, 1947, 1947, 1, 60, 15, 45, .250, 0, 0, 0, 0
Providence Steam Rollers, BAA, 1947, 1949, 3, 168, 46, 122, .274, 0, 0, 0, 0
San Diego Sails, ABA, 1973, 1976, 4, 263, 101, 162, .384, 2, 0, 0, 0
Sheboygan Red Skins, NBA, 1950, 1950, 1, 62, 22, 40, .355, 1, 0, 0, 0
Spirits of St. Louis, ABA, 1968, 1976, 9, 744, 334, 410, .449, 5, 1, 0, 0
St. Louis Bombers, NBA/BAA, 1947, 1950, 4, 237, 122, 115, .515, 3, 1, 0, 0
The Floridians, ABA, 1968, 1972, 5, 408, 189, 219, .463, 4, 0, 0, 0
Toronto Huskies, BAA, 1947, 1947, 1, 60, 22, 38, .367, 0, 0, 0, 0
Utah Stars, ABA, 1968, 1976, 9, 676, 366, 310, .541, 6, 3, 0, 1
Virginia Squires, ABA, 1968, 1976, 9, 743, 326, 417, .439, 6, 2, 0, 1
Washington Capitols, NBA/BAA, 1947, 1951, 5, 271, 157, 114, .579, 4, 2, 0, 0
Waterloo Hawks, NBA, 1950, 1950, 1, 62, 19, 43, .306, 0, 0, 0, 0
